EVE,YEAR,DATE,FLIGHT,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
E1,2016,24AUG16,24AUG16083100101,0921,0208,24AUG16083100101_0208_B01,24AUG16083100101_0208_S01,8.854,3.292,N/A,N/A,violate min dis,no violate drop off
E1,2016,24AUG16,24AUG16083100101,0921,0208,24AUG16083100101_0208_B01,24AUG16083100101_0208_S02,8.854,12.595,12.595,head,no violate min dis,violate drop off
E3,2016,24AUG16,24AUG16083100101,0921,0415,24AUG16083100101_0415_B03,24AUG16083100101_0415_S04,9.004,5.59,N/A,N/A,violate min dis,no violate drop off
E4,2016,24AUG16,24AUG16083100101,0921,0435,24AUG16083100101_0435_B03,24AUG16083100101_0435_S15,9.004,6.531,N/A,N/A,violate min dis,no violate drop off
E4,2016,24AUG16,24AUG16083100101,0921,0435,24AUG16083100101_0435_B03,24AUG16083100101_0435_S03,9.004,7.157,N/A,N/A,violate min dis,no violate drop off
E4,2016,24AUG16,24AUG16083100101,0921,0435,24AUG16083100101_0435_B03,24AUG16083100101_0435_S02,9.004,13.277,13.277,head,no violate min dis,violate drop off
E4,2016,24AUG16,24AUG16083100101,0921,0435,24AUG16083100101_0435_B02,24AUG16083100101_0435_S08,9.241,24.986,24.986,tail,no violate min dis,violate drop off
E5,2016,24AUG16,24AUG16083100101,0921,0517,24AUG16083100101_0517_B01,24AUG16083100101_0517_S11,8.854,6.381,N/A,N/A,violate min dis,no violate drop off
E9,2016,24AUG16,24AUG16083100101,0921,0746,24AUG16083100101_0746_B02,24AUG16083100101_0746_S07,9.241,6.979,N/A,N/A,violate min dis,no violate drop off
E9,2016,24AUG16,24AUG16083100101,0921,0746,24AUG16083100101_0746_B02,24AUG16083100101_0746_S08,9.241,12.893,12.893,side,no violate min dis,violate drop off
E10,2016,24AUG16,24AUG16083100101,0921,0805,24AUG16083100101_0805_B02,24AUG16083100101_0805_S06,9.241,8.492,N/A,N/A,violate min dis,no violate drop off
E11,2016,24AUG16,24AUG16083100101,0921,0837,24AUG16083100101_0837_B03,24AUG16083100101_0837_S01,9.004,19.184,19.184,side,no violate min dis,violate drop off
E12,2016,24AUG16,24AUG16083100102,0339,0019,24AUG16083100102_0019_B01,24AUG16083100102_0019_S01,9.474,7.666,N/A,N/A,violate min dis,no violate drop off
E13,2016,24AUG16,24AUG16083100102,0339,0118,24AUG16083100102_0118_B02,24AUG16083100102_0118_S03,8.961,2.459,N/A,N/A,violate min dis,no violate drop off
E14,2016,24AUG16,24AUG16083100102,0339,0143,24AUG16083100102_0143_B01,24AUG16083100102_0143_S01,9.474,3.718,N/A,N/A,violate min dis,no violate drop off
E15,2016,24AUG16,24AUG16102700201,0921,0436,24AUG16102700201_0436_B01,24AUG16102700201_0436_S03,8.171,4.728,N/A,N/A,violate min dis,no violate drop off
E17,2016,24AUG16,24AUG16102700201,0921,0546,24AUG16102700201_0546_B01,24AUG16102700201_0546_S02,9.599,6.548,N/A,N/A,violate min dis,no violate drop off
E19,2016,24AUG17,24AUG16121400301,0921,0236,24AUG16121400301_0236_B01,24AUG16121400301_0236_S01,10.003,4.272,4.272,tail,violate min dis,violate drop off
E21,2016,24AUG19,24AUG16121400301,0921,0637,24AUG16121400301_0637_B01,24AUG16121400301_0637_S01,9.066,2.963,N/A,N/A,violate min dis,no violate drop off
E22,2016,24AUG20,24AUG16121400301,0459,0748,24AUG16121400302_0748_B01,24AUG16121400302_0748_S01,9.952,8.52,N/A,N/A,violate min dis,no violate drop off
E26,2016,24AUG23,24AUG16125800401,0921,0414,24AUG16125800401_0414_B01,24AUG16125800401_0414_S02,8.876,5.285,N/A,N/A,violate min dis,no violate drop off
E28,2016,25AUG23,25AUG16092000501,0921,0316,25AUG16092000501_0316_B01,25AUG16092000501_0316_S07,11.207,3.732,N/A,N/A,violate min dis,no violate drop off
E28,2016,25AUG23,25AUG16092000501,0921,0316,25AUG16092000501_0316_B01,25AUG16092000501_0316_S13,11.207,6.205,N/A,N/A,violate min dis,no violate drop off
E28,2016,25AUG23,25AUG16092000501,0921,0316,25AUG16092000501_0316_B02,25AUG16092000501_0316_S14,12.977,3.387,N/A,N/A,violate min dis,no violate drop off
