EVE,YEAR,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
22_E3,2022,13-Aug-22,13AUG22_F01,13AUG22_F01_P2,451,157,13AUG22_F01_P2_0157_B21,13AUG22_F01_P2_0157_S01,9.485,1.165,N/A,N/A,violate min dis,no violate drop off
22_E5,2022,13-Aug-22,13AUG22_F01,13AUG22_F01_P2,451,419,13AUG22_F01_P2_0419_B21,13AUG22_F01_P2_0419_S01,9.492,7.759,N/A,N/A,violate min dis,no violate drop off
22_E7,2022,13-Aug-22,13AUG22_F01,13AUG22_F01_P3,451,200,13AUG22_F01_P3_0200_B02,13AUG22_F01_P3_0200_S01,10.396,2.635,N/A,N/A,violate min dis,no violate drop off
22_E8,2022,13-Aug-22,13AUG22_F01,13AUG22_F01_P3,451,330,13AUG22_F01_P3_0330_B05,13AUG22_F01_P3_0330_S01,11.178,0,N/A,N/A,violate min dis,no violate drop off
22_E9,2022,13-Aug-22,13AUG22_F01,13AUG22_F01_P3,451,430,13AUG22_F01_P3_0430_B26,13AUG22_F01_P3_0430_S01,10.969,0,N/A,N/A,violate min dis,no violate drop off
22_E13,2022,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,244,13AUG22_F02_P1_0244_B01,13AUG22_F02_P1_0244_S01,10.093,6.92,N/A,N/A,violate min dis,no violate drop off
22_E13,2022,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,244,13AUG22_F02_P1_0244_B05,13AUG22_F02_P1_0244_S01,11.525,8.529,N/A,N/A,violate min dis,no violate drop off
22_E15,2022,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,355,13AUG22_F02_P1_0355_B07,13AUG22_F02_P1_0355_S01,10.036,8.422,N/A,N/A,violate min dis,no violate drop off
22_E16,2022,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,415,13AUG22_F02_P1_0415_B08,13AUG22_F02_P1_0415_S01,11.083,9.367,N/A,N/A,violate min dis,no violate drop off
22_E20,2022,13-Aug-22,13AUG22_F02,13AUG22_F02_P2,451,343,13AUG22_F02_P2_0343_B14,13AUG22_F02_P2_0343_S01,9.47,7.19,N/A,N/A,violate min dis,no violate drop off
22_E25,2022,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,330,13AUG22_F02_P3_0330_B15,13AUG22_F02_P3_0330_S01,9.689,8.798,N/A,N/A,violate min dis,no violate drop off
22_E28,2022,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,107,13AUG22_F03_P1_0107_B01,13AUG22_F03_P1_0107_S01,8.774,7.9,7.9,head,violate min dis,violate drop off
