No,EVE,YEAR,WEEKDAYS,DATE,FLIGHT,V_LENGTH,TIMELINE,TECHINICIAN,FOOTAGE_AREA,POLICE_PRESENCE,SURVEY_BOAT,NO_WS,NO_BOAT,NO_SWIMMER
1,E1,2016,Wednesday,24-Aug-16,24AUG16083100101,921,208,Hoa,19380.261,no,yes,16,2,3
2,E2,2016,Wednesday,24-Aug-16,24AUG16083100101,921,308,Hoa,18428.646,no,yes,12,3,3
3,E3,2016,Wednesday,24-Aug-16,24AUG16083100101,921,415,Hoa,42418.976,no,yes,13,3,3
4,E4,2016,Wednesday,24-Aug-16,24AUG16083100101,921,435,Hoa,43014.336,no,yes,12,3,6
5,E5,2016,Wednesday,24-Aug-16,24AUG16083100101,921,517,Hoa,40625.65,no,yes,12,3,9
6,E6,2016,Wednesday,24-Aug-16,24AUG16083100101,921,603,Hoa,41620.11,no,yes,10,3,9
7,E7,2016,Wednesday,24-Aug-16,24AUG16083100101,921,640,Hoa,40097.003,no,yes,7,3,7
8,E8,2016,Wednesday,24-Aug-16,24AUG16083100101,921,704,Hoa,41378.451,no,yes,6,3,4
9,E9,2016,Wednesday,24-Aug-16,24AUG16083100101,921,746,Hoa,38198.252,no,yes,11,3,10
10,E10,2016,Wednesday,24-Aug-16,24AUG16083100101,921,805,Hoa,43328.901,no,yes,12,3,10
11,E11,2016,Wednesday,24-Aug-16,24AUG16083100101,921,837,Hoa,42016.616,no,yes,10,3,9
12,E12,2016,Wednesday,24-Aug-16,24AUG16083100102,921,19,Hoa,44635.587,no,yes,11,3,12
13,E13,2016,Wednesday,24-Aug-16,24AUG16083100102,921,118,Hoa,17837.493,no,yes,4,2,6
14,E14,2016,Wednesday,24-Aug-16,24AUG16083100102,921,143,Hoa,18106.47,no,yes,1,2,0
15,E15,2016,Wednesday,24-Aug-16,24AUG16102700201,921,436,Hoa,42323.754,no,yes,4,17,11
16,E16,2016,Wednesday,24-Aug-16,24AUG16102700201,921,526,Hoa,39267.963,no,yes,2,9,8
17,E17,2016,Wednesday,24-Aug-16,24AUG16102700201,921,546,Hoa,40766.252,no,yes,2,10,12
18,E18,2016,Wednesday,24-Aug-16,24AUG16121400301,921,145,Hoa,31238.254,no,yes,1,4,6
19,E19,2016,Wednesday,24-Aug-16,24AUG16121400301,921,236,Hoa,42765.089,no,yes,3,4,6
20,E20,2016,Wednesday,24-Aug-16,24AUG16121400301,921,448,Hoa,42177.249,no,yes,1,6,5
21,E21,2016,Wednesday,24-Aug-16,24AUG16121400301,921,637,Hoa,41767.815,no,yes,1,6,2
22,E22,2016,Wednesday,24-Aug-16,24AUG16121400301,459,748,Hoa,38965.388,no,yes,2,8,4
23,E23,2016,Wednesday,24-Aug-16,24AUG16121400302,459,23,Hoa,41429.214,no,yes,2,8,9
24,E24,2016,Wednesday,24-Aug-16,24AUG16121400302,459,200,Hoa,42674.149,no,yes,2,7,7
25,E25,2016,Wednesday,24-Aug-16,24AUG16125800401,921,305,Hoa,17113.246,no,yes,1,2,3
26,E26,2016,Wednesday,24-Aug-16,24AUG16125800401,921,414,Hoa,17470.295,no,yes,2,3,3
27,E27,2016,Wednesday,24-Aug-16,24AUG16125800401,921,455,Hoa,17333.161,no,yes,3,3,3
28,E28,2016,Thursday,25-Aug-16,25AUG16092000501,921,316,Hoa,37960.593,no,yes,57,11,19
