Weekdays,Date,Time,Flight #,Video #,Duration,NO_WS_FIELD,NO_BOAT_FIELD
Wednesday,24-Aug-16,831,001,01,13M30S,12,3
Wednesday,24-Aug-16,831,001,01,13M30S,8,3
Thursday,25-Aug-16,920,005,01,13M09S,42,7
Thursday,25-Aug-16,920,005,02,13M09S,14,2
Thursday,25-Aug-16,954,006,01,14M4S,67,10
Thursday,25-Aug-16,954,006,02,14M4S,46,15
Thursday,25-Aug-16,1029,007,02,N/A,46,19
Thursday,25-Aug-16,1058,008,01,N/A ,46,20
Thursday,25-Aug-16,1058,008,02,12M40S,26,7
Thursday,25-Aug-16,1133,009,01,N/A,,
Thursday,25-Aug-16,1133,009,04,N/A,,
Thursday,25-Aug-16,1133,08,08,N/A,,
Thursday,25-Aug-16,1316,04,04,N/A,,
Thursday,25-Aug-16,1316,07,07,N/A,,
Thursday,25-Aug-16,1316,11,11,N/A,,
Friday,26-Aug-18,0805,012,01,14M15S,,
Friday,26-Aug-16,0805,012,04,14M15S,,
Friday,26-Aug-16,0805,012,07,14M15S,,
Friday,26-Aug-16,0826,013,01,N/A,,
Friday,26-Aug-16,0826,013,04,N/A,,
Friday,26-Aug-16,0902,014,01,N/A,,
Friday,26-Aug-16,0902,014,04,N/A,,
Friday,26-Aug-16,0902,014,06,N/A ,,
Friday,26-Aug-16,0931,015,03,N/A,,
Friday,26-Aug-16,0931,015,05,N/A,,
Friday,26-Aug-16,1000,016,01,N/A,,
Friday,26-Aug-16,1000,016,03,N/A,,
Friday,26-Aug-16,1038,017,01,,,
Friday,26-Aug-16,1038,017,02,,,
Friday,26-Aug-16,1101,018,01,,,
Saturday,27-Aug-16,0826,021,01,,,
Saturday,27-Aug-16,0826,021,02,,,
Saturday,27-Aug-16,0903,022,01,,,
Saturday,27-Aug-16,0903,022,02,,,
Saturday,27-Aug-16,0933,023,01,,,
Saturday,27-Aug-16,0933,023,02,,,
Saturday,27-Aug-16,1006,024,01,,,
Saturday,27-Aug-16,1006,024,02,,,
Saturday,27-Aug-16,1049,025,01,,,
Saturday,27-Aug-16,1049,025,02,,,
Saturday,27-Aug-16,1125,026,01,,,
Saturday,27-Aug-16,1125,026,02,,,
Saturday,27-Aug-16,1149,027,01,,,
Saturday,27-Aug-16,1149,027,02,,,
Sunday,28-Aug-16,0752,030,01,,,
Sunday,28-Aug-16,0752,030,04,,,
Sunday,28-Aug-16,0832,031,02,,,
Sunday,28-Aug-16,0930,032,01,,,
Sunday,28-Aug-16,0930,032,02,,,
Sunday,28-Aug-16,1023,033,01,,,
Sunday,28-Aug-16,1023,033,04,,,
Sunday,28-Aug-16,1156,035,03,,,
Sunday,28-Aug-16,1230,036,01,,,
Sunday,28-Aug-16,1230,036,04,,,
