EVE,YEAR,DATE,FLIGHT,V_LENGTH,TIMELINE,SWIM_CODE,WS_CODE,G_NO_SWIM,H_OR_T,SWIM_DIST,NO_TOUCHING,SWIM_VIOLATION
E1,2016,24AUG16,24AUG16083100101,0921,0208,24AUG16083100101_0208_G01,24AUG16083100101_0208_S02,3,head,2.003,0,violate
E2,2016,24AUG16,24AUG16083100101,0921,0308,24AUG16083100101_0308_G01,24AUG16083100101_0308_S02,3,head,1.627,0,violate
E3,2016,24AUG16,24AUG16083100101,0921,0415,24AUG16083100101_0415_G01,24AUG16083100101_0415_S02,3,head,2.675,0,violate
E4,2016,24AUG16,24AUG16083100101,0921,0435,24AUG16083100101_0435_G02,24AUG16083100101_0435_S02,3,head,3.354,0,violate
E5,2016,24AUG16,24AUG16083100101,0921,0517,24AUG16083100101_0517_G02,24AUG16083100101_0517_S02,3,head,3.482,0,violate
E5,2016,24AUG16,24AUG16083100101,0921,0517,24AUG16083100101_0517_G01,24AUG16083100101_0517_S04,3,head,2.757,0,violate
E6,2016,24AUG16,24AUG16083100101,0921,0603,24AUG16083100101_0603_G02,24AUG16083100101_0603_S02,3,head,2.413,0,violate
E6,2016,24AUG16,24AUG16083100101,0921,0603,24AUG16083100101_0603_G01,24AUG16083100101_0603_S11,3,head,2.605,1,violate
E7,2016,24AUG16,24AUG16083100101,0921,0640,24AUG16083100101_0640_G01,24AUG16083100101_0640_S02,1,head,3.302,0,violate
E7,2016,24AUG16,24AUG16083100101,0921,0640,24AUG16083100101_0640_G02,24AUG16083100101_0640_S02,3,head,3.302,0,violate
E8,2016,24AUG16,24AUG16083100101,0921,0704,24AUG16083100101_0704_G01,24AUG16083100101_0704_S02,1,head,1.524,0,violate
E8,2016,24AUG16,24AUG16083100101,0921,0704,24AUG16083100101_0704_G02,24AUG16083100101_0704_S02,3,head,1.524,0,violate
E9,2016,24AUG16,24AUG16083100101,0921,0746,24AUG16083100101_0746_G01,24AUG16083100101_0746_S02,1,head,2.13,0,violate
