EVE,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,SWIM_CODE,WS_CODE,G_NO_SWIM,H_OR_T,SWIM_DIST,NO_TOUCHING,SWIM_VIOLATION
22_E1,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,202,13AUG22_F01_P1_0202_G07,13AUG22_F01_P1_0202_S01,3,head,0,0,violate
22_E1,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,202,13AUG22_F01_P1_0202_G05,13AUG22_F01_P1_0202_S01,5,head,0,0,violate
22_E1,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,202,13AUG22_F01_P1_0202_G03,13AUG22_F01_P1_0202_S01,2,tail,0,0,violate
22_E1,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,202,13AUG22_F01_P1_0202_G10,13AUG22_F01_P1_0202_S01,2,tail,0,0,violate
22_E2,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,330,13AUG22_F01_P1_0330_G01,13AUG22_F01_P1_0330_S01,2,head,0,0,violate
22_E2,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,330,13AUG22_F01_P1_0330_G02,13AUG22_F01_P1_0330_S01,3,head,0,0,violate
22_E2,13-Aug-22,13AUG22_F01,13AUG22_F01_P1,451,330,13AUG22_F01_P1_0330_G04,13AUG22_F01_P1_0330_S01,3,tail,0,0,violate
22_E10,13-Aug-22,13AUG22_F01,13AUG22_F01_P4,451,130,13AUG22_F01_P4_0130_G01,13AUG22_F01_P4_0130_S01,3,tail,0,0,violate
22_E11,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,28,13AUG22_F02_P1_0028_G01,13AUG22_F02_P1_0028_S01,3,tail,0,0,violate
22_E11,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,28,13AUG22_F02_P1_0028_G02,13AUG22_F02_P1_0028_S01,3,tail,0,0,violate
22_E11,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,28,13AUG22_F02_P1_0028_G03,13AUG22_F02_P1_0028_S01,3,head,0,0,violate
22_E12,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,202,13AUG22_F02_P1_0202_G04,13AUG22_F02_P1_0202_S01,3,head,1,1,violate
22_E12,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,202,13AUG22_F02_P1_0202_G05,13AUG22_F02_P1_0202_S01,2,tail,0,0,violate
22_E13,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,244,13AUG22_F02_P1_0244_G04,13AUG22_F02_P1_0244_S01,3,tail,0,0,violate
22_E14,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,328,13AUG22_F02_P1_0328_G05,13AUG22_F02_P1_0328_S01,2,head,0,0,violate
22_E14,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,328,13AUG22_F02_P1_0328_G06,13AUG22_F02_P1_0328_S01,3,tail,0,0,violate
22_E15,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,355,13AUG22_F02_P1_0355_G07,13AUG22_F02_P1_0355_S01,3,head,0,0,violate
22_E16,13-Aug-22,13AUG22_F02,13AUG22_F02_P1,451,415,13AUG22_F02_P1_0415_G07,13AUG22_F02_P1_0415_S01,3,tail,0,0,violate
22_E17,13-Aug-22,13AUG22_F02,13AUG22_F02_P2,451,16,13AUG22_F02_P2_0016_G08,13AUG22_F02_P2_0016_S01,3,head,0,0,violate
22_E18,13-Aug-22,13AUG22_F02,13AUG22_F02_P2,451,124,13AUG22_F02_P2_0124_G10,13AUG22_F02_P2_0124_S01,3,tail,0,0,violate
22_E19,13-Aug-22,13AUG22_F02,13AUG22_F02_P2,451,214,13AUG22_F02_P2_0214_G11,13AUG22_F02_P2_0214_S01,3,tail,0,0,violate
22_E21,13-Aug-22,13AUG22_F02,13AUG22_F02_P2,451,416,13AUG22_F02_P2_0416_G12,13AUG22_F02_P2_0416_S01,3,head,0,0,violate
22_E22,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,5,13AUG22_F02_P3_0005_G13,13AUG22_F02_P3_0005_S01,3,head,0,0,violate
22_E22,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,5,13AUG22_F02_P3_0005_G12,13AUG22_F02_P3_0005_S01,3,tail,0,0,violate
22_E23,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,102,13AUG22_F02_P3_0102_G12,13AUG22_F02_P3_0102_S01,3,head,0,0,violate
22_E23,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,102,13AUG22_F02_P3_0102_G13,13AUG22_F02_P3_0102_S01,3,head,1,1,violate
22_E24,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,224,13AUG22_F02_P3_0224_G13,13AUG22_F02_P3_0224_S01,3,tail,0,0,violate
22_E24,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,224,13AUG22_F02_P3_0224_G14,13AUG22_F02_P3_0224_S01,3,head,0,0,violate
22_E25,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,330,13AUG22_F02_P3_0330_G13,13AUG22_F02_P3_0330_S01,3,head,0,0,violate
22_E25,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,330,13AUG22_F02_P3_0330_G14,13AUG22_F02_P3_0330_S01,3,tail,0,0,violate
22_E25,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,330,13AUG22_F02_P3_0330_G15,13AUG22_F02_P3_0330_S01,3,head,0,0,violate
22_E26,13-Aug-22,13AUG22_F02,13AUG22_F02_P3,451,402,13AUG22_F02_P3_0402_G15,13AUG22_F02_P3_0402_S01,3,tail,0,0,violate
22_E27,13-Aug-22,13AUG22_F02,13AUG22_F02_P4,451,3,13AUG22_F02_P4_0003_G16,13AUG22_F02_P4_0003_S01,3,tail,0,0,violate
22_E28,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,107,13AUG22_F03_P1_0107_G01,13AUG22_F03_P1_0107_S01,2,head,0,0,violate
22_E29,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,153,13AUG22_F03_P1_0153_G02,13AUG22_F03_P1_0153_S01,2,head,0,0,violate
22_E30,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,207,13AUG22_F03_P1_0207_G02,13AUG22_F03_P1_0207_S01,2,tail,0,0,violate
22_E30,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,207,13AUG22_F03_P1_0207_G03,13AUG22_F03_P1_0207_S01,2,head,2,2,violate
22_E31,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,219,13AUG22_F03_P1_0219_G03,13AUG22_F03_P1_0219_S01,2,tail,0,0,violate
22_E32,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,256,13AUG22_F03_P1_0256_G01,13AUG22_F03_P1_0256_S01,2,tail,0,0,violate
22_E32,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,256,13AUG22_F03_P1_0256_G02,13AUG22_F03_P1_0256_G01,3,head,0,0,violate
22_E33,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,410,13AUG22_F03_P1_0410_G01,13AUG22_F03_P1_0410_S01,2,tail,0,0,violate
22_E33,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,410,13AUG22_F03_P1_0410_G02,13AUG22_F03_P1_0410_S02,2,head,0,0,violate
22_E34,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,438,13AUG22_F03_P1_0438_G02,13AUG22_F03_P1_0438_S01,2,tail,0,0,violate
22_E35,13-Aug-22,13AUG22_F03,13AUG22_F03_P2,451,130,13AUG22_F03_P2_0130_G01,13AUG22_F03_P2_0130_S01,2,tail,0,0,violate
22_E36,13-Aug-22,13AUG22_F03,13AUG22_F03_P2,451,247,13AUG22_F03_P2_0247_G01,13AUG22_F03_P2_0247_S01,3,head,3,3,violate
22_E37,13-Aug-22,13AUG22_F03,13AUG22_F03_P2,451,340,13AUG22_F03_P2_0340_G01,13AUG22_F03_P2_0340_S01,2,head,2,2,violate
22_E38,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,317,13AUG22_F03_P3_0317_G01,13AUG22_F03_P3_0317_S01,2,tail,0,0,violate
22_E38,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,317,13AUG22_F03_P3_0317_G02,13AUG22_F03_P3_0317_S01,3,tail,0,0,violate
22_E39,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,351,13AUG22_F03_P3_0351_G01,13AUG22_F03_P3_0351_S01,2,tail,0,0,violate
22_E39,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,351,13AUG22_F03_P3_0351_G02,13AUG22_F03_P3_0351_S01,3,tail,0,0,violate
22_E40,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,449,13AUG22_F03_P3_0449_G01,13AUG22_F03_P3_0449_S01,3,tail,0,0,violate
22_E41,13-Aug-22,13AUG22_F03,13AUG22_F03_P4,451,33,13AUG22_F03_P4_0033_G01,13AUG22_F03_P4_0033_S01,3,tail,0,0,violate
22_E43,13-Aug-22,13AUG22_F04,13AUG22_F04_P1,451,433,13AUG22_F04_P1_0433_G01,13AUG22_F04_P1_0433_S01,2,head,0,0,violate
22_E44,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,26,13AUG22_F04_P2_0026_G01,13AUG22_F04_P2_0026_S01,2,tail,0,0,violate
22_E45,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,143,13AUG22_F04_P2_0143_G03,13AUG22_F04_P2_0143_S01,3,tail,0,0,violate
22_E45,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,143,13AUG22_F04_P2_0143_G01,13AUG22_F04_P2_0143_S01,2,tail,0,0,violate
22_E45,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,143,13AUG22_F04_P2_0143_G02,13AUG22_F04_P2_0143_S01,2,head,0,0,violate
22_E46,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,239,13AUG22_F04_P2_0239_G01,13AUG22_F04_P2_0239_S01,3,head,0,0,violate
22_E46,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,239,13AUG22_F04_P2_0239_G02,13AUG22_F04_P2_0239_S01,2,head,0,0,violate
22_E46,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,239,13AUG22_F04_P2_0239_G03,13AUG22_F04_P2_0239_S01,2,tail,0,0,violate
22_E47,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,447,13AUG22_F04_P2_0447_G01,13AUG22_F04_P2_0447_S01,2,tail,0,0,violate
22_E48,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,25,13AUG22_F04_P3_0025_G01,13AUG22_F04_P3_0025_S01,2,tail,0,0,violate
22_E49,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,158,13AUG22_F04_P3_0158_G01,13AUG22_F04_P3_0158_S01,2,head,0,0,violate
22_E50,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,356,13AUG22_F04_P3_0356_G01,13AUG22_F04_P3_0356_S01,2,tail,0,0,violate
