"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_BOAT_VIOLATIONS","POLICE_PRESENCE","FRE_BOAT_VIOLATION","RATE_BOAT_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","AVE_FOOTAGE_AREA_km","FRE_BOAT_VIOLATION_min","FRE_BOAT_VIOLATION_min_count","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_BOAT_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"1","24AUG16083100101","2016","Wednesday","2016-08-24",561,37827.729,76,11,41,7,"no",0.0124777183600713,0.000185049438204445,0.000290791974321271,0.00200910818621969,0.037827729,0.75,1,4.39,1.18,8.13,2.09556092355972,2,0.000214921704657449,-8.44523676054452,0.54,-0.616186139423817,-0.287682072451781,1.47932922708708,0.165514438477573,"2016_Wednesday"
"2","24AUG16083100102","2016","Wednesday","2016-08-24",561,26859.85,16,4,18,3,"no",0.0053475935828877,0.000111690869457573,0.000148921159276764,0.000595684637107058,0.02685985,0.32,0,1.93,0.43,1.71,0.536493370514568,2,6.36637955908168e-05,-9.66189451503478,1.13,0.122217632724249,-1.13943428318836,0.657520002916794,-0.843970070294529,"2016_Wednesday"
"3","24AUG16102700201","2016","Wednesday","2016-08-24",561,41545.003,6,25,23,2,"no",0.0035650623885918,4.81405669894885e-05,0.000601757087368606,0.000144421700968465,0.041545003,0.21,0,2.46,2.67,0.64,-0.44628710262842,2,1.54049814366363e-05,-11.0808196309384,3.84,1.34547236659964,-1.56064774826467,0.900161349944271,0.982078472412158,"2016_Wednesday"
"4","24AUG16121400301","2016","Wednesday","2016-08-24",561,41166.097,6,15,12,3,"no",0.0053475935828877,7.28755023824581e-05,0.00036437751191229,0.000145751004764916,0.041166097,0.32,0,1.28,1.6,0.64,-0.44628710262842,2,1.55467738415911e-05,-11.0716574108581,2,0.693147180559945,-1.13943428318836,0.246860077931526,0.470003629245736,"2016_Wednesday"
"5","24AUG16125800401","2016","Wednesday","2016-08-24",561,17470.295,2,2,3,1,"no",0.0017825311942959,5.72400179848137e-05,0.000114480035969627,0.000114480035969627,0.017470295,0.11,0,0.32,0.21,0.21,-1.56064774826467,2,1.20204037768109e-05,-11.3289050373406,1.52,0.418710334858185,-2.20727491318972,-1.13943428318836,-1.56064774826467,"2016_Wednesday"
"6","25AUG16092000501","2016","Thursday","2016-08-25",561,38330.624,570,127,268,84,"no",0.149732620320856,0.00219145923635368,0.0033132776549633,0.0148706162466857,0.038330624,8.98,9,28.66,13.58,60.96,4.11021791137839,2,0.00159037327438238,-6.44378652654019,0.47,-0.755022584278033,2.19499988231411,3.35550242240003,2.60859812213055,"2016_Thursday"
"7","25AUG16092000502","2016","Thursday","2016-08-25",230,27362.429,70,28,55,12,"no",0.0521739130434783,0.000438557556421617,0.00102330096498377,0.00255825241245943,0.027362429,3.13,3,14.35,7.3,18.26,2.90471287516682,2,0.000667338415021561,-7.31221327186879,0.79,-0.23572233352107,1.14103300455206,2.66374994220563,1.98787434815435,"2016_Thursday"
"8","25AUG16095400601","2016","Thursday","2016-08-25",542,40142.032,328,131,223,50,"no",0.0922509225092251,0.0012455772044624,0.00326341227569147,0.00817098646127331,0.040142032,5.54,6,24.69,14.5,36.31,3.59209318542624,2,0.000904538165880591,-7.00808605846292,0.68,-0.385662480811985,1.71199450075919,3.20639830335709,2.67414864942653,"2016_Thursday"
"9","25AUG16095400602","2016","Thursday","2016-08-25",262,28439.008,100,29,72,8,"no",0.0305343511450382,0.000281303764181929,0.00101972614515949,0.00351629705227412,0.028439008,1.83,2,16.49,6.64,22.9,3.13113691056019,2,0.000805232024970772,-7.12438009229858,0.72,-0.328504066972036,0.60431596685333,2.80275413657151,1.89311196348834,"2016_Thursday"
"10","25AUG16102900701","2016","Thursday","2016-08-25",560,16913.254,27,16,43,5,"no",0.00892857142857143,0.00029562614030393,0.000946003648972575,0.00159638115764122,0.016913254,0.54,1,4.61,1.71,2.89,1.06125650212434,2,0.000170871909095671,-8.6745963517704,1.6,0.470003629245736,-0.616186139423817,1.52822785700856,0.536493370514568,"2016_Thursday"
"11","25AUG16113300901","2016","Thursday","2016-08-25",313,23399.278,82,4,3,3,"no",0.00958466453674121,0.000128209084058064,0.000170945445410752,0.00350438163092041,0.023399278,0.58,1,0.58,0.77,15.72,2.75493378700106,2,0.000671815600464254,-7.30552665916786,0.04,-3.2188758248682,-0.544727175441672,-0.544727175441672,-0.261364764134408,"2016_Thursday"
"12","25AUG16113300904","2016","Thursday","2016-08-25",126,21946.067,31,1,5,1,"no",0.00793650793650794,4.55662511191641e-05,4.55662511191641e-05,0.00141255378469409,0.021946067,0.48,0,2.38,0.48,14.76,2.69192081917233,2,0.000672557866518862,-7.3044224033219,0.16,-1.83258146374831,-0.7339691750802,0.867100487683383,-0.7339691750802,"2016_Thursday"
