"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_SWIM_VIOLATIONS","SUM_TOUCH_VIOLATIONS","POLICE_PRESENCE","FRE_SWIM_VIOLATION","RATE_SWIM_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","RATE_SUM_SWIM","PERCENTAGE_SWIM_VIO","PERCENTAGE_TOUCH","AVE_FOOTAGE_AREA_km","FRE_SWIM_VIOLATION_min","FRE_SWIM_VIOLATION_min_count","FRE_TOUCH_min","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_SWIM_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"1","24AUG16083100101","2016","Wednesday","2016-08-24",561,37318.837,121,21,73,19,2,"no",0.0338680926916221,0.00050912626242881,0.000562718500579211,0.00324233040809927,0.00195611669248964,0.26027397260274,0.0273972602739726,0.037318837,2.03,2,0.21,7.81,2.25,12.94,2.56032328907275,2,0.000346741780833095,-7.96693020248763,0.6,-0.510825623765991,0.708035793053696,2.05540496385159,0.810930216216329,"2016_Wednesday"
"2","24AUG16083100102","2016","Wednesday","2016-08-24",561,31236.54,15,3,18,5,0,"no",0.0089126559714795,0.000160068944895946,9.60413669375674e-05,0.000480206834687837,0.000576248201625404,0.277777777777778,0,0.03123654,0.53,1,0,1.93,0.32,1.6,0.470003629245736,2,5.12220623667026e-05,-9.87934021313231,1.21,0.19062035960865,-0.63487827243597,0.657520002916794,-1.13943428318836,"2016_Wednesday"
"3","24AUG16102700201","2016","Wednesday","2016-08-24",561,40785.99,8,33,31,7,0,"no",0.0124777183600713,0.000171627561326818,0.000809101360540715,0.000196145784373507,0.000760064914447338,0.225806451612903,0,0.04078599,0.75,1,0,3.32,3.53,0.86,-0.150822889734584,2,2.1085671820152e-05,-10.7669168088047,3.86,1.35066718347674,-0.287682072451781,1.1999647829284,1.26129787094521,"2016_Wednesday"
"4","24AUG16121400301","2016","Wednesday","2016-08-24",561,39382.759,8,23,23,6,1,"no",0.0106951871657754,0.000152350931025427,0.000584011902264135,0.000203134574700569,0.000584011902264135,0.260869565217391,0.0434782608695652,0.039382759,0.64,1,0.11,2.46,2.46,0.86,-0.150822889734584,2,2.18369667803112e-05,-10.7319063004182,2.86,1.05082162483176,-0.44628710262842,0.900161349944271,0.900161349944271,"2016_Wednesday"
"5","24AUG16121400302","2016","Wednesday","2016-08-24",299,42051.682,4,13,16,4,0,"no",0.0133779264214047,9.51210465255587e-05,0.000309143401208066,9.51210465255587e-05,0.000380484186102235,0.25,0,0.042051682,0.8,1,0,3.21,2.61,0.8,-0.22314355131421,2,1.90242093051117e-05,-10.8697982159153,4.01,1.38879124131848,-0.22314355131421,1.16627093714192,0.959350221334602,"2016_Wednesday"
"6","24AUG16125800401","2016","Wednesday","2016-08-24",561,17305.567,6,5,9,3,0,"no",0.0053475935828877,0.000173354620510267,0.000288924367517112,0.000346709241020534,0.000520063861530801,0.333333333333333,0,0.017305567,0.32,0,0,0.96,0.53,0.64,-0.44628710262842,2,3.69823190421903e-05,-10.2050706232579,1.5,0.405465108108164,-1.13943428318836,-0.0408219945202552,-0.63487827243597,"2016_Wednesday"
"7","25AUG16092000501","2016","Thursday","2016-08-25",561,38330.624,570,127,268,63,12,"no",0.112299465240642,0.00164359442726526,0.0033132776549633,0.0148706162466857,0.00699179851598555,0.235074626865672,0.0447761194029851,0.038330624,6.74,7,1.28,28.66,13.58,60.96,4.11021791137839,2,0.00159037327438238,-6.44378652654019,0.47,-0.755022584278033,1.90805992492422,3.35550242240003,2.60859812213055,"2016_Thursday"
"8","25AUG16092000502","2016","Thursday","2016-08-25",230,27362.429,70,28,55,8,1,"no",0.0347826086956522,0.000292371704281078,0.00102330096498377,0.00255825241245943,0.00201005546693241,0.145454545454545,0.0181818181818182,0.027362429,2.09,2,0.26,14.35,7.3,18.26,2.90471287516682,2,0.000667338415021561,-7.31221327186879,0.79,-0.23572233352107,0.73716406597672,2.66374994220563,1.98787434815435,"2016_Thursday"
"9","25AUG16095400601","2016","Thursday","2016-08-25",542,40142.032,328,131,223,44,4,"no",0.0811808118081181,0.00109610793992691,0.00326341227569147,0.00817098646127331,0.00555527433190228,0.197309417040359,0.0179372197309417,0.040142032,4.87,5,0.44,24.69,14.5,36.31,3.59209318542624,2,0.000904538165880591,-7.00808605846292,0.68,-0.385662480811985,1.5830939370945,3.20639830335709,2.67414864942653,"2016_Thursday"
"10","25AUG16095400602","2016","Thursday","2016-08-25",262,28439.008,100,29,72,22,0,"no",0.083969465648855,0.000773585351500305,0.00101972614515949,0.00351629705227412,0.00253173387763736,0.305555555555556,0,0.028439008,5.04,5,0,16.49,6.64,22.9,3.13113691056019,2,0.000805232024970772,-7.12438009229858,0.72,-0.328504066972036,1.61740608208328,2.80275413657151,1.89311196348834,"2016_Thursday"
